image,ground_truth
images/ApacheTrail/00000.jpg,"[0.295976, 0.331589, 0.37243499999999996]"
images/ApacheTrail/00030.jpg,"[0.298753, 0.332463, 0.36878399999999995]"
images/ApacheTrail/00070.jpg,"[0.301102, 0.331784, 0.367114]"
images/ApacheTrail/00080.jpg,"[0.302126, 0.332053, 0.365821]"
images/ApacheTrail/00090.jpg,"[0.301494, 0.332919, 0.36558700000000005]"
images/ApacheTrail/00100.jpg,"[0.307508, 0.332961, 0.359531]"
images/ApacheTrail/00110.jpg,"[0.304743, 0.332504, 0.362753]"
images/ApacheTrail/00120.jpg,"[0.307084, 0.332203, 0.36071299999999995]"
images/ApacheTrail/00130.jpg,"[0.308041, 0.332295, 0.359664]"
images/ApacheTrail/00140.jpg,"[0.307554, 0.333039, 0.35940700000000003]"
images/ApacheTrail/00150.jpg,"[0.308685, 0.331828, 0.359487]"
images/ApacheTrail/00160.jpg,"[0.307112, 0.331713, 0.36117499999999997]"
images/ApacheTrail/00170.jpg,"[0.304767, 0.332143, 0.36308999999999997]"
images/ApacheTrail/00180.jpg,"[0.302532, 0.332144, 0.365324]"
images/ApacheTrail/00190.jpg,"[0.299682, 0.331984, 0.368334]"
images/ApacheTrail/00200.jpg,"[0.303548, 0.331365, 0.36508700000000005]"
images/ApacheTrail/00210.jpg,"[0.301151, 0.331043, 0.3678060000000001]"
images/ApacheTrail/00220.jpg,"[0.298099, 0.332369, 0.36953199999999997]"
images/ApacheTrail/00240.jpg,"[0.300162, 0.330943, 0.368895]"
images/ApacheTrail/00320.jpg,"[0.329425, 0.327267, 0.34330799999999995]"
images/ApacheTrail/00330.jpg,"[0.329705, 0.327059, 0.343236]"
images/ApacheTrail/00340.jpg,"[0.328169, 0.326174, 0.34565700000000005]"
images/ApacheTrail/00350.jpg,"[0.306975, 0.331752, 0.361273]"
images/ApacheTrail/00380.jpg,"[0.305376, 0.331249, 0.363375]"
images/ApacheTrail/00390.jpg,"[0.30875, 0.332283, 0.3589669999999999]"
images/ApacheTrail/00400.jpg,"[0.310142, 0.3322, 0.3576580000000001]"
images/ApacheTrail/00410.jpg,"[0.307716, 0.331341, 0.360943]"
images/ApacheTrail/00420.jpg,"[0.312086, 0.332597, 0.35531700000000005]"
images/ApacheTrail/00430.jpg,"[0.312241, 0.332085, 0.355674]"
images/ApacheTrail/00440.jpg,"[0.310482, 0.332983, 0.3565350000000001]"
images/ApacheTrail/00500.jpg,"[0.307272, 0.331495, 0.361233]"
images/ApacheTrail/00510.jpg,"[0.309823, 0.332386, 0.357791]"
images/ApacheTrail/00530.jpg,"[0.323693, 0.331203, 0.34510399999999997]"
images/ApacheTrail/00540.jpg,"[0.322004, 0.331553, 0.34644300000000006]"
images/ApacheTrail/00550.jpg,"[0.325054, 0.330253, 0.344693]"
images/ApacheTrail/00560.jpg,"[0.325875, 0.328965, 0.34515999999999997]"
images/ApacheTrail/00580.jpg,"[0.326355, 0.330593, 0.343052]"
images/ApacheTrail/00590.jpg,"[0.326038, 0.331647, 0.3423149999999999]"
images/ApacheTrail/00600.jpg,"[0.324328, 0.332314, 0.34335800000000005]"
images/ApacheTrail/00610.jpg,"[0.324183, 0.332751, 0.343066]"
images/ApacheTrail/00620.jpg,"[0.32285, 0.332916, 0.34423399999999993]"
images/ApacheTrail/00630.jpg,"[0.32253, 0.333096, 0.344374]"
images/ApacheTrail/00640.jpg,"[0.322032, 0.33317, 0.344798]"
images/ApacheTrail/00650.jpg,"[0.32214, 0.332852, 0.34500800000000004]"
images/ApacheTrail/00660.jpg,"[0.321804, 0.333138, 0.34505800000000003]"
images/ApacheTrail/00670.jpg,"[0.321752, 0.333213, 0.345035]"
images/ApacheTrail/00680.jpg,"[0.321883, 0.333135, 0.34498200000000007]"
images/ApacheTrail/00690.jpg,"[0.322236, 0.333092, 0.34467200000000003]"
images/ApacheTrail/00700.jpg,"[0.322211, 0.332984, 0.344805]"
images/ApacheTrail/00710.jpg,"[0.320855, 0.333185, 0.34596]"
images/ApacheTrail/00720.jpg,"[0.320513, 0.333395, 0.34609199999999996]"
images/ApacheTrail/00730.jpg,"[0.32022, 0.333319, 0.3464610000000001]"
images/ApacheTrail/00740.jpg,"[0.321437, 0.333211, 0.34535200000000005]"
images/ApacheTrail/00750.jpg,"[0.321828, 0.333279, 0.344893]"
images/ApacheTrail/00760.jpg,"[0.322013, 0.333244, 0.344743]"
images/ApacheTrail/00770.jpg,"[0.322161, 0.333171, 0.3446680000000001]"
images/ApacheTrail/00780.jpg,"[0.322562, 0.332967, 0.34447099999999997]"
images/ApacheTrail/00790.jpg,"[0.322595, 0.332944, 0.344461]"
images/ApacheTrail/00800.jpg,"[0.322635, 0.333073, 0.344292]"
images/ApacheTrail/00810.jpg,"[0.322293, 0.332677, 0.34503000000000006]"
images/ApacheTrail/00820.jpg,"[0.322002, 0.332673, 0.345325]"
images/ApacheTrail/00830.jpg,"[0.322246, 0.33269, 0.345064]"
images/ApacheTrail/00840.jpg,"[0.321784, 0.332492, 0.3457239999999999]"
images/ApacheTrail/00850.jpg,"[0.322323, 0.332682, 0.344995]"
images/ApacheTrail/00860.jpg,"[0.322277, 0.332567, 0.3451560000000001]"
images/ApacheTrail/00870.jpg,"[0.322138, 0.332628, 0.345234]"
images/ApacheTrail/00880.jpg,"[0.322381, 0.332748, 0.344871]"
images/ApacheTrail/00890.jpg,"[0.321828, 0.33282, 0.345352]"
images/ApacheTrail/00900.jpg,"[0.322668, 0.332806, 0.34452600000000005]"
images/ApacheTrail/00910.jpg,"[0.322257, 0.332753, 0.34498999999999996]"
images/ApacheTrail/00920.jpg,"[0.322667, 0.332866, 0.34446699999999997]"
images/ApacheTrail/00930.jpg,"[0.322296, 0.33298, 0.344724]"
images/ApacheTrail/00940.jpg,"[0.322496, 0.332969, 0.344535]"
images/ApacheTrail/00950.jpg,"[0.322436, 0.3331, 0.34446400000000005]"
images/ApacheTrail/00960.jpg,"[0.322284, 0.333272, 0.344444]"
images/ApacheTrail/00970.jpg,"[0.322509, 0.333045, 0.3444460000000001]"
images/ApacheTrail/00980.jpg,"[0.322222, 0.333084, 0.344694]"
images/ApacheTrail/00990.jpg,"[0.320799, 0.333327, 0.34587399999999996]"
images/ApacheTrail/01000.jpg,"[0.322026, 0.333327, 0.3446470000000001]"
images/ApacheTrail/01010.jpg,"[0.322259, 0.332968, 0.34477299999999994]"
images/ApacheTrail/01020.jpg,"[0.322067, 0.333156, 0.344777]"
images/ApacheTrail/01030.jpg,"[0.322354, 0.33306, 0.34458599999999995]"
images/ApacheTrail/01040.jpg,"[0.322451, 0.332914, 0.34463499999999997]"
images/ApacheTrail/01050.jpg,"[0.322354, 0.333086, 0.34456]"
images/ApacheTrail/01060.jpg,"[0.322472, 0.33303, 0.344498]"
images/ApacheTrail/01070.jpg,"[0.322288, 0.333188, 0.344524]"
images/ApacheTrail/01080.jpg,"[0.322375, 0.332914, 0.34471099999999993]"
images/ApacheTrail/01090.jpg,"[0.322146, 0.333216, 0.34463799999999994]"
images/ApacheTrail/01100.jpg,"[0.321931, 0.333049, 0.34502000000000005]"
images/ApacheTrail/01110.jpg,"[0.321854, 0.333303, 0.344843]"
images/ApacheTrail/01120.jpg,"[0.321954, 0.333125, 0.3449209999999999]"
images/ApacheTrail/01130.jpg,"[0.321784, 0.333252, 0.34496399999999994]"
images/ApacheTrail/01140.jpg,"[0.321806, 0.333178, 0.345016]"
images/ApacheTrail/01150.jpg,"[0.320358, 0.333361, 0.34628100000000006]"
images/ApacheTrail/01160.jpg,"[0.320354, 0.333325, 0.346321]"
images/ApacheTrail/01170.jpg,"[0.32233, 0.333007, 0.344663]"
images/ApacheTrail/01180.jpg,"[0.321792, 0.333103, 0.34510499999999994]"
images/ApacheTrail/01190.jpg,"[0.322341, 0.332954, 0.344705]"
images/ApacheTrail/01200.jpg,"[0.321694, 0.333159, 0.3451470000000001]"
images/ApacheTrail/01210.jpg,"[0.322025, 0.332981, 0.34499399999999997]"
images/ApacheTrail/01220.jpg,"[0.32213, 0.332964, 0.344906]"
images/ApacheTrail/01230.jpg,"[0.320297, 0.333245, 0.34645799999999993]"
images/ApacheTrail/01240.jpg,"[0.322066, 0.333118, 0.344816]"
images/ApacheTrail/01250.jpg,"[0.32205, 0.333211, 0.3447390000000001]"
images/ApacheTrail/01260.jpg,"[0.321931, 0.333389, 0.34468000000000004]"
images/ApacheTrail/01270.jpg,"[0.321842, 0.333236, 0.34492200000000006]"
images/ApacheTrail/01280.jpg,"[0.321751, 0.333203, 0.34504599999999996]"
images/ApacheTrail/01290.jpg,"[0.32207, 0.333095, 0.34483499999999995]"
images/ApacheTrail/01300.jpg,"[0.321951, 0.33312, 0.344929]"
images/ApacheTrail/01310.jpg,"[0.321644, 0.333258, 0.34509799999999996]"
images/ApacheTrail/01320.jpg,"[0.322066, 0.332899, 0.34503500000000004]"
images/ApacheTrail/01330.jpg,"[0.321883, 0.332985, 0.3451320000000001]"
images/ApacheTrail/01340.jpg,"[0.321992, 0.332993, 0.34501499999999996]"
images/ApacheTrail/01350.jpg,"[0.322231, 0.332831, 0.3449380000000001]"
images/ApacheTrail/01360.jpg,"[0.321997, 0.333098, 0.344905]"
images/ApacheTrail/01370.jpg,"[0.322034, 0.332979, 0.34498700000000004]"
images/ApacheTrail/01380.jpg,"[0.321523, 0.332976, 0.345501]"
images/ApacheTrail/01390.jpg,"[0.322109, 0.332732, 0.345159]"
images/ApacheTrail/01400.jpg,"[0.322097, 0.332927, 0.34497599999999995]"
images/ApacheTrail/01410.jpg,"[0.321772, 0.332984, 0.34524400000000005]"
images/ApacheTrail/01420.jpg,"[0.321559, 0.333159, 0.3452820000000001]"
images/ApacheTrail/01430.jpg,"[0.321787, 0.333035, 0.34517799999999993]"
images/ApacheTrail/01440.jpg,"[0.320372, 0.333446, 0.346182]"
images/ApacheTrail/01450.jpg,"[0.320586, 0.333696, 0.34571799999999997]"
images/ApacheTrail/01460.jpg,"[0.320007, 0.333811, 0.34618200000000005]"
images/ApacheTrail/01470.jpg,"[0.31977, 0.333552, 0.346678]"
images/ApacheTrail/01480.jpg,"[0.319819, 0.33395, 0.3462309999999999]"
images/ApacheTrail/01490.jpg,"[0.319838, 0.333466, 0.34669599999999995]"
images/ApacheTrail/01500.jpg,"[0.320349, 0.333255, 0.346396]"
images/ApacheTrail/01510.jpg,"[0.321673, 0.333457, 0.34487]"
images/ApacheTrail/01520.jpg,"[0.321537, 0.333025, 0.345438]"
images/ApacheTrail/01530.jpg,"[0.321196, 0.333225, 0.34557899999999997]"
images/ApacheTrail/01540.jpg,"[0.321573, 0.332985, 0.345442]"
images/ApacheTrail/01550.jpg,"[0.321858, 0.333136, 0.34500600000000003]"
images/ApacheTrail/01560.jpg,"[0.321454, 0.333169, 0.345377]"
images/ApacheTrail/01570.jpg,"[0.321072, 0.333167, 0.345761]"
images/ApacheTrail/01580.jpg,"[0.319957, 0.333183, 0.34685999999999995]"
images/ApacheTrail/01590.jpg,"[0.319814, 0.333164, 0.34702199999999994]"
images/ApacheTrail/01600.jpg,"[0.320092, 0.33325, 0.34665799999999997]"
images/ApacheTrail/01610.jpg,"[0.319655, 0.333488, 0.34685699999999997]"
images/ApacheTrail/01620.jpg,"[0.319811, 0.333384, 0.3468049999999999]"
images/ApacheTrail/01630.jpg,"[0.319637, 0.333626, 0.3467370000000001]"
images/ApacheTrail/01640.jpg,"[0.320255, 0.333293, 0.34645200000000004]"
images/ApacheTrail/01650.jpg,"[0.319872, 0.333317, 0.3468110000000001]"
images/ApacheTrail/01660.jpg,"[0.321327, 0.333229, 0.3454440000000001]"
images/ApacheTrail/01670.jpg,"[0.319658, 0.33352, 0.346822]"
images/ApacheTrail/01680.jpg,"[0.319917, 0.333455, 0.346628]"
images/ApacheTrail/01690.jpg,"[0.319814, 0.33342, 0.34676599999999996]"
images/ApacheTrail/01700.jpg,"[0.319846, 0.333163, 0.34699099999999994]"
images/ApacheTrail/01710.jpg,"[0.320508, 0.332844, 0.346648]"
images/ApacheTrail/01720.jpg,"[0.32028, 0.332735, 0.346985]"
images/ApacheTrail/01730.jpg,"[0.320482, 0.332725, 0.3467930000000001]"
images/ApacheTrail/01740.jpg,"[0.31941, 0.333169, 0.34742100000000004]"
images/ApacheTrail/01750.jpg,"[0.319801, 0.33314, 0.347059]"
images/ApacheTrail/01760.jpg,"[0.319577, 0.33319, 0.347233]"
images/ApacheTrail/01770.jpg,"[0.319804, 0.33331, 0.346886]"
images/ApacheTrail/01780.jpg,"[0.319788, 0.333465, 0.346747]"
images/ApacheTrail/01790.jpg,"[0.319506, 0.333294, 0.34719999999999995]"
images/ApacheTrail/01800.jpg,"[0.319771, 0.333653, 0.346576]"
images/ApacheTrail/01810.jpg,"[0.319793, 0.333265, 0.34694200000000003]"
images/ApacheTrail/01820.jpg,"[0.319782, 0.33336, 0.346858]"
images/ApacheTrail/01830.jpg,"[0.31995, 0.333361, 0.346689]"
images/ApacheTrail/01840.jpg,"[0.319821, 0.333422, 0.346757]"
images/ApacheTrail/01850.jpg,"[0.319957, 0.33351, 0.346533]"
images/ApacheTrail/01860.jpg,"[0.321323, 0.333545, 0.345132]"
images/ApacheTrail/01870.jpg,"[0.321162, 0.33352, 0.34531800000000007]"
images/ApacheTrail/01880.jpg,"[0.321462, 0.333401, 0.34513699999999997]"
images/ApacheTrail/01890.jpg,"[0.320727, 0.333417, 0.345856]"
images/ApacheTrail/01900.jpg,"[0.318632, 0.333259, 0.34810899999999995]"
images/ApacheTrail/01910.jpg,"[0.32071, 0.333131, 0.34615899999999994]"
images/ApacheTrail/01920.jpg,"[0.320577, 0.332878, 0.346545]"
images/ApacheTrail/01930.jpg,"[0.319823, 0.333304, 0.34687300000000004]"
images/ApacheTrail/01940.jpg,"[0.320481, 0.333237, 0.346282]"
images/ApacheTrail/01950.jpg,"[0.320373, 0.333071, 0.346556]"
images/ApacheTrail/01960.jpg,"[0.320424, 0.332852, 0.346724]"
images/ApacheTrail/01970.jpg,"[0.320324, 0.332942, 0.34673399999999993]"
images/ApacheTrail/01980.jpg,"[0.320699, 0.332907, 0.3463939999999999]"
images/ApacheTrail/01990.jpg,"[0.320847, 0.333038, 0.346115]"
images/ApacheTrail/02000.jpg,"[0.320676, 0.333116, 0.346208]"
images/ApacheTrail/02010.jpg,"[0.321083, 0.332966, 0.345951]"
images/ApacheTrail/02020.jpg,"[0.319478, 0.333158, 0.34736400000000006]"
images/ApacheTrail/02030.jpg,"[0.321415, 0.333433, 0.345152]"
images/ApacheTrail/02040.jpg,"[0.321509, 0.333147, 0.34534399999999993]"
images/ApacheTrail/02050.jpg,"[0.320985, 0.333215, 0.34579999999999994]"
images/ApacheTrail/02060.jpg,"[0.321033, 0.333439, 0.345528]"
images/ApacheTrail/02070.jpg,"[0.319362, 0.333179, 0.3474590000000001]"
images/ApacheTrail/02080.jpg,"[0.321183, 0.33344, 0.345377]"
images/ApacheTrail/02090.jpg,"[0.321943, 0.332899, 0.345158]"
images/ApacheTrail/02100.jpg,"[0.321642, 0.332985, 0.34537300000000004]"
images/ApacheTrail/02110.jpg,"[0.321794, 0.332786, 0.34541999999999995]"
images/ApacheTrail/02120.jpg,"[0.321647, 0.332892, 0.34546099999999996]"
images/ApacheTrail/02130.jpg,"[0.321909, 0.332923, 0.345168]"
images/ApacheTrail/02140.jpg,"[0.321407, 0.332857, 0.345736]"
images/ApacheTrail/02150.jpg,"[0.321148, 0.333099, 0.34575300000000003]"
images/ApacheTrail/02160.jpg,"[0.321118, 0.332849, 0.346033]"
images/ApacheTrail/02170.jpg,"[0.320803, 0.332754, 0.34644300000000006]"
images/ApacheTrail/02180.jpg,"[0.321163, 0.332592, 0.346245]"
images/ApacheTrail/02190.jpg,"[0.321535, 0.332771, 0.345694]"
images/ApacheTrail/02200.jpg,"[0.322297, 0.332762, 0.34494099999999994]"
